Code,Year,Pref,Municip,Ku,JCP,LDP,TotVote,VotePop,Turnout,EldPop,Fstrength,JCPPR,LDPPR,LDPDif,JCPDif,Kaso,Kaso2,IncomePerCapita,Fusion,Kaso.fusion,Kaso2.fusion
01206,2017,北海道,釧路市,７区,0.36368951717686193,0.6363104828231381,76964,150673,0.5108015371035288,30.254,0.45,0.09946569071270993,0.23864114564072483,0.39766933718241326,0.264223826464152,みなし過疎,Kaso,2739.9,1,みなし過疎,Kaso-Merged
01206,2021,北海道,釧路市,７区,0.10462940689065298,0.5439419453131265,74826,140884,0.5311177990403453,34.3166533129385,0.45,0.09278503688168102,0.3317048198513391,0.21223712546178736,0.011844370008971955,みなし過疎,Kaso,2783.651006,1,みなし過疎,Kaso-Merged
01207,2009,北海道,帯広市,11区,0.05244772743196309,0.4181705351870202,99909,141227,0.7074355470271265,22.34,0.57,0.06384340711549426,0.28599005791216153,0.13218047727485865,-0.011395679683531168,Normal,Normal,2865.8,0,Normal,Normal
01207,2012,北海道,帯広市,11区,0.07992268598615918,0.5323988970588235,73984,141227,0.5238658330205981,22.34,0.54,0.06215169046228969,0.3041903296003397,0.22820856745848378,0.017770995523869487,Normal,Normal,2815.4,0,Normal,Normal
01207,2014,北海道,帯広市,11区,0.11271320555653244,0.5181994021452435,73931,143739,0.5143419670374777,26.361,0.55,0.11416408149013604,0.33019083303116986,0.18800856911407365,-0.0014508759336036015,Normal,Normal,2828.1,0,Normal,Normal
01207,2017,北海道,帯広市,11区,NA,0.46811153050042614,82130,143739,0.5713828536444528,26.361,0.58,0.07975157372747735,0.29779858695521344,0.1703129435452127,NA,Normal,Normal,2929.5,0,Normal,Normal
01207,2021,北海道,帯広市,１１区,NA,0.4891663202171627,81782,138927,0.5886688692622745,29.586994514296798,0.6,0.08014118620522864,0.37012818589545093,0.11903813432171179,NA,Normal,Normal,2978.655753,0,Normal,Normal
01208,2009,北海道,北見市,12区,NA,0.44234409472461195,76601,106849,0.716908908833962,25.358,0.48,0.05502763885232956,0.2833903658857594,0.15895372883885256,NA,一部過疎,Kaso,2699.4,1,一部過疎,Kaso-Merged
01208,2012,北海道,北見市,12区,0.07033150710372366,0.47616306063701364,53845,106849,0.5039354603225112,25.358,0.44,0.058900547697641394,0.3004776218488945,0.17568543878811915,0.011430959406082263,一部過疎,Kaso,2719.6,1,一部過疎,Kaso-Merged
01208,2014,北海道,北見市,12区,0.11826851159311892,0.4856955871353777,53480,104410,0.5122114739967436,30.057,0.45,0.11293216221267052,0.3162586432442534,0.1694369438911243,0.005336349380448399,一部過疎,Kaso,2718.4,1,一部過疎,Kaso-Merged
01208,2017,北海道,北見市,12区,0.15813869924541862,0.49236435501257636,55660,104410,0.5330907001245091,30.057,0.45,0.07569472878429138,0.2863653356594805,0.20599901935309584,0.08244397046112724,一部過疎,Kaso,2830.1,1,一部過疎,Kaso-Merged
01208,2021,北海道,北見市,１２区,0.10538580072913144,0.5310256699364829,53214,97928,0.5433992320888816,33.7369519832985,0.45,0.08313050854003715,0.3518424247059947,0.17918324523048823,0.022255292189094292,一部過疎,Kaso,2891.82295,1,一部過疎,Kaso-Merged
01209,2009,北海道,夕張市,10区,NA,0.307843137254902,7650,10004,0.7646941223510596,43.82,0.23,0.07781950019422504,0.168069403081704,0.13977373417319797,NA,全部過疎,Kaso,2099.7,0,全部過疎,Kaso
01209,2012,北海道,夕張市,10区,0.0824689678626084,NA,5881,10004,0.5878648540583766,43.82,0.18,0.08334759541331507,0.1867191511209995,NA,-8.786275507066676e-4,全部過疎,Kaso,2073.4,0,全部過疎,Kaso
01209,2014,北海道,夕張市,10区,0.12297921478060046,NA,5196,8199,0.6337358214416392,48.581,0.18,0.12249614791987673,0.21956856702619415,NA,4.830668607237326e-4,全部過疎,Kaso,2137.3,0,全部過疎,Kaso
01209,2017,北海道,夕張市,10区,NA,NA,5138,8199,0.6266617880229296,48.581,0.19,0.09251620506776664,0.20408564132783344,NA,NA,全部過疎,Kaso,2220.1,0,全部過疎,Kaso
01209,2021,北海道,夕張市,１０区,NA,NA,4421,6807,0.6494784780373145,52.784175585964,0.21,0.09000464831204265,0.25289223805928696,NA,NA,全部過疎,Kaso,2212.662753,0,全部過疎,Kaso
01210,2009,北海道,岩見沢市,10区,NA,0.33417794830956343,55252,77169,0.7159869895942671,27.769,0.4,0.07893117057098374,0.21995727578840654,0.11422067252115689,NA,一部過疎,Kaso,2714.7,1,一部過疎,Kaso-Merged
01210,2012,北海道,岩見沢市,10区,0.07330464115389089,NA,42985,77169,0.5570241936528917,27.769,0.37,0.0705237853081226,0.2606675604456567,NA,0.0027808558457682875,一部過疎,Kaso,2631,1,一部過疎,Kaso-Merged
01210,2014,北海道,岩見沢市,10区,0.13458369947275922,NA,36416,73193,0.4975339171778722,32.548,0.37,0.12398073145133076,0.28133157512311957,NA,0.01060296802142846,一部過疎,Kaso,2609,1,一部過疎,Kaso-Merged
01210,2017,北海道,岩見沢市,10区,NA,NA,43317,73193,0.5918188897845422,32.548,0.39,0.0826573522991015,0.2717788450490613,NA,NA,一部過疎,Kaso,2699.6,1,一部過疎,Kaso-Merged
